window,k,beta,n_samples,accuracy,balanced_accuracy,precision,recall,f1,kappa,pred_positive_rate
360,1.0,2.0,656737,0.5631889173291592,0.5926188607522482,0.23664234352861696,0.6386588670262605,0.3453296515210297,0.11142313550707927,0.48683567394558247
500,2.5,2.0,656597,0.7866499542337233,0.600772064715739,0.38613798906184266,0.30999805797370666,0.343904118250411,0.21833275953027054,0.14480724097125025
360,1.5,1.2,656737,0.5576098194558857,0.5902456610768034,0.23447515994728607,0.6413009530080107,0.34339631169770385,0.10765367928730463,0.4933679692175102
720,2.0,2.0,656377,0.7583705705714856,0.598874618756519,0.33651413463494,0.3493543456045673,0.34281404869640164,0.19485003557193226,0.1872780429539731
240,1.5,1.2,656857,0.563606690649563,0.5880874898319586,0.23456751131478962,0.626399021633703,0.3413207226335406,0.10669162152446898,0.48202424576429875
120,1.5,2.0,656977,0.6992649666578891,0.5946866288886234,0.28206670492671726,0.4310228518424825,0.3409871717043688,0.15704109913552255,0.27583309613578555
360,1.0,1.2,656737,0.4692334983410406,0.5826626327462412,0.21952057883535714,0.7601104104940616,0.34065863393042917,0.0843366146750234,0.6246077196807854
240,1.5,2.0,656857,0.6918933649180872,0.5939884312966826,0.27748132337246534,0.440770885168473,0.3405647405360669,0.15289800302654477,0.2867245077695754
120,1.5,1.2,656977,0.5694598136616654,0.5867776144249919,0.23494102270343536,0.6138797537735053,0.3398256526356327,0.10655287272872094,0.47165273670158925
500,1.0,2.5,656597,0.575602690843851,0.586029544163887,0.23551414828044992,0.6023405638631125,0.3386260716014924,0.10704230676842275,0.4613164543852622
240,1.0,2.0,656857,0.5663713715466228,0.5847038525699164,0.23330799015786552,0.613393497237802,0.33804028018573695,0.10360429104144309,0.47456447902663745
240,1.0,1.2,656857,0.47289440471822636,0.5776616754176156,0.2179030947047045,0.7416185214861046,0.33683654061632695,0.08018656934485358,0.614331582064285
120,1.0,2.0,656977,0.5729972282134687,0.5811675338874038,0.23260736753463335,0.593953959018467,0.3342959860466772,0.10110296634776283,0.46092176742869234
720,1.0,1.0,656377,0.40408637109466056,0.56984935065758,0.209295732012782,0.8291739508643915,0.33422751164247394,0.06482753158470422,0.7146761693356105
720,1.5,2.5,656377,0.712969832885674,0.5900682957054258,0.2868627319622161,0.39779742751695424,0.3333427693875529,0.1565315729843354,0.2501565411341348
720,2.5,1.0,656377,0.5301236941574735,0.5772925063993748,0.22398059239675183,0.6510848176205799,0.3333016286137976,0.08865911966526174,0.5243861378445619
120,1.0,1.2,656977,0.47703039832444666,0.5724863399982576,0.21606853052601824,0.7218736824352813,0.3325880499540592,0.07579657691304709,0.6030698182736991
